score,modifications,signal_pairing,chassis
204.56,range_p+-1_0.5_r+5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
86.73,range_p+-1_0.5_r+5.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
226.9,range_p+-0.5_0.5_r+5.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
360.61,range_p+0.5_0.5_r+5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
324.29,range_p+1_0.5_r+7_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
393.13,range_p+1_0.5_r+6_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
360.61,range_p+0.5_0.5_r+5.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
338.6,range_p+-0.5_0.5_r+5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
362.41,range_p+0_0.5_r+6.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
368.75,range_p+0_0.5_r+6_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
368.75,range_p+0_0.5_r+7_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
324.29,range_p+1_0.5_r+5.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
396.38,range_p+0.5_0.5_r+7_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
396.38,range_p+0.5_0.5_r+6_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
393.13,range_p+1_0.5_r+5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
393.13,range_p+1_0.5_r+6.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
362.41,range_p+0_0.5_r+5.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
221.44,range_p+-1_0.5_r+7_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
221.44,range_p+-1_0.5_r+6_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
360.61,range_p+0.5_0.5_r+6.5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
368.75,range_p+0_0.5_r+5_0.5.json,"['Ara', 'aTc']",Eco2C1G3T1
139.22,range_p+-1_0.5_r+5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
139.22,range_p+-1_0.5_r+5.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
163.4,range_p+-0.5_0.5_r+5.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
323.99,range_p+0.5_0.5_r+5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
317.76,range_p+1_0.5_r+7_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
317.76,range_p+1_0.5_r+6_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
323.99,range_p+0.5_0.5_r+5.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
80.51,range_p+-0.5_0.5_r+5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
85.02,range_p+0_0.5_r+6.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
199.76,range_p+0_0.5_r+6_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
199.76,range_p+0_0.5_r+7_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
317.76,range_p+1_0.5_r+5.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
323.99,range_p+0.5_0.5_r+7_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
323.99,range_p+0.5_0.5_r+6_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
87.62,range_p+1_0.5_r+5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
317.76,range_p+1_0.5_r+6.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
199.76,range_p+0_0.5_r+5.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
139.22,range_p+-1_0.5_r+7_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
139.22,range_p+-1_0.5_r+6_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
323.99,range_p+0.5_0.5_r+6.5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
199.76,range_p+0_0.5_r+5_0.5.json,"['Ara', 'Cuma']",Eco2C1G3T1
86.73,range_p+-1_0.5_r+5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
194.76,range_p+-1_0.5_r+5.5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
287.8,range_p+-0.5_0.5_r+5.5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
393.07,range_p+0.5_0.5_r+5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
391.46,range_p+1_0.5_r+7_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
391.46,range_p+1_0.5_r+6_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
393.07,range_p+0.5_0.5_r+5.5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
