score,modifications,signal_pair1,signal_pair2,chassis
396.38,range_p+0.5_0.5_r+7_0.5.json,Ara,aTc,Eco2C1G3T1
323.99,range_p+0.5_0.5_r+5_0.5.json,Ara,Cuma,Eco2C1G3T1
393.07,range_p+0.5_0.5_r+5_0.5.json,Ara,IPTG,Eco2C1G3T1
81.34,range_p+1_0.5_r+5.5_0.5.json,Ara,Nar,Eco2C1G3T1
411.87,range_p+1_0.5_r+5.5_0.5.json,Ara,OHC14,Eco2C1G3T1
391.24,range_p+0.5_0.5_r+5_0.5.json,Ara,Van,Eco2C1G3T1
321.22,range_p+0_0.5_r+5.5_0.5.json,AraC,LuxR,Eco1C1G1T1
386.83,range_p+1_0.5_r+7_0.5.json,aTc,Cuma,Eco2C1G3T1
83.69,range_p+1_0.5_r+7_0.5.json,aTc,Nar,Eco2C1G3T1
413.68,range_p+1_0.5_r+7_0.5.json,aTc,OHC14,Eco2C1G3T1
400.4,range_p+0.5_0.5_r+7_0.5.json,aTc,Van,Eco2C1G3T1
44.17,range_p+1_0.5_r+7_0.5.json,Cuma,Nar,Eco2C1G3T1
405.14,range_p+1_0.5_r+7_0.5.json,Cuma,OHC14,Eco2C1G3T1
384.15,range_p+1_0.5_r+7_0.5.json,Cuma,Van,Eco2C1G3T1
402.29,range_p+0.5_0.5_r+5.5_0.5.json,IPTG,aTc,Eco2C1G3T1
385.1,range_p+1_0.5_r+7_0.5.json,IPTG,Cuma,Eco2C1G3T1
83.67,range_p+1_0.5_r+7_0.5.json,IPTG,Nar,Eco2C1G3T1
413.17,range_p+1_0.5_r+6_0.5.json,IPTG,OHC14,Eco2C1G3T1
397.28,range_p+0.5_0.5_r+5_0.5.json,IPTG,Van,Eco2C1G3T1
328,range_p+0_0.5_r+5.5_0.5.json,LacI,AraC,Eco1C1G1T1
1550.93,range_p+-0.5_0.5_r+7_0.5.json,LacI,CinR,Eco1C2G2T2
1550.83,range_p+0_0.5_r+5_0.5.json,LacI,LuxR,Eco1C2G2T2
1548.56,range_p+0_0.5_r+5_0.5.json,LacI,TetR,Eco1C2G2T2
1539.11,range_p+-1_0.5_r+5.5_0.5.json,LuxR,CinR,Eco1C2G2T2
90.89,range_p+1_0.5_r+5.5_0.5.json,OHC14,Nar,Eco2C1G3T1
327.76,range_p+0.5_0.5_r+5_0.5.json,TetR,AraC,Eco1C1G1T1
1533.86,range_p+-0.5_0.5_r+7_0.5.json,TetR,CinR,Eco1C2G2T2
1526.16,range_p+-0.5_0.5_r+6_0.5.json,TetR,LuxR,Eco1C2G2T2
83.66,range_p+1_0.5_r+7_0.5.json,Van,Nar,Eco2C1G3T1
412.75,range_p+1_0.5_r+7_0.5.json,Van,OHC14,Eco2C1G3T1
