score,modifications,chassis
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.01,new_p+1000_r+0.01.json,
1.01,new_p+1000_r+0.01.json,Eco2C1G3T1
1.18,new_p+100_r+100.json,
1.18,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
1.18,new_p+100_r+100.json,
1.19,new_p+100_r+100.json,
1.19,new_p+100_r+100.json,
2.89,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
2.89,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
2.89,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
38.15,new_p+100_r+100.json,
38.15,new_p+100_r+100.json,Eco2C1G3T1
1.51,new_p+1000_r+10.json,
1.08,new_p+1000_r+10.json,
1.01,new_p+1000_r+10.json,
1.07,new_p+1000_r+10.json,
1.02,new_p+1000_r+10.json,
1.01,new_p+1000_r+10.json,
1.51,new_p+1000_r+10.json,Eco1C1G1T1
0.0,new_p+0.001_r+1000.json,Eco1C2G2T2
289.03,new_p+100_r+1.json,
55.16,new_p+100_r+1.json,
2.2,new_p+100_r+1.json,
84.75,new_p+100_r+1.json,
1.75,new_p+100_r+1.json,
2.21,new_p+100_r+1.json,
289.03,new_p+100_r+1.json,Eco1C1G1T1
