score,modifications,chassis,prom_mod,rbs_mod,prom_mod_log,rbs_mod_log
920.64,new_p+10_r+100.json,,10.0,100.0,2.302585092994046,4.605170185988092
920.64,new_p+10_r+100.json,Eco1C2G2T2,10.0,100.0,2.302585092994046,4.605170185988092
775.91,new_p+10_r+100.json,,10.0,100.0,2.302585092994046,4.605170185988092
727.32,new_p+10_r+100.json,,10.0,100.0,2.302585092994046,4.605170185988092
722.99,new_p+10_r+10.json,Eco1C2G2T2,10.0,10.0,2.302585092994046,2.302585092994046
722.99,new_p+10_r+10.json,,10.0,10.0,2.302585092994046,2.302585092994046
661.28,new_p+10_r+100.json,,10.0,100.0,2.302585092994046,4.605170185988092
593.9,new_p+0.1_r+0.001.json,Eco1C2G2T2,0.1,0.001,-2.3025850929940455,-6.907755278982137
593.9,new_p+0.1_r+0.001.json,,0.1,0.001,-2.3025850929940455,-6.907755278982137
542.84,new_p+0.1_r+0.001.json,,0.1,0.001,-2.3025850929940455,-6.907755278982137
537.4,new_p+10_r+10.json,,10.0,10.0,2.302585092994046,2.302585092994046
479.7,new_p+10_r+10.json,,10.0,10.0,2.302585092994046,2.302585092994046
403.39,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
403.39,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
403.39,new_p+1_r+1.json,Eco2C1G3T1,1.0,1.0,0.0,0.0
396.44,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
396.44,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
388.22,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
388.22,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
382.64,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
382.64,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
382.52,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
382.52,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
375.96,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
375.96,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
362.41,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
362.41,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
362.06,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
362.06,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
358.11,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
355.66,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
351.95,new_p+1_r+1.json,,1.0,1.0,0.0,0.0
348.99,new_p+1_r+10.json,,1.0,10.0,0.0,2.302585092994046
340.49,new_p+10_r+10.json,,10.0,10.0,2.302585092994046,2.302585092994046
327.56,new_p+1_r+0.001.json,,1.0,0.001,0.0,-6.907755278982137
327.56,new_p+1_r+0.001.json,Eco1C1G1T1,1.0,0.001,0.0,-6.907755278982137
325.82,new_p+10_r+1000.json,Eco1C1G1T1,10.0,1000.0,2.302585092994046,6.907755278982137
325.82,new_p+10_r+1000.json,,10.0,1000.0,2.302585092994046,6.907755278982137
321.22,new_p+1_r+0.001.json,,1.0,0.001,0.0,-6.907755278982137
319.12,new_p+10_r+1000.json,,10.0,1000.0,2.302585092994046,6.907755278982137
305.83,new_p+10_r+10.json,,10.0,10.0,2.302585092994046,2.302585092994046
